text,def1,def2,def3
abajo,down,downstairs,below
el abanico,fan,,
abierto,open,,
abrazar,embrace,to embrace,
el abrigo,overcoat,,
abrir,to open,,
acabar,to finish,,
aceptar,accept,to accept,
acercarse,to approach,approach,
hola,hi,hey,hello
aconsejar,advise,to advise,
acordarse,to remember,remember,
acostarse,go to bed,to go to bed,
actual,present,current,
el acuerdo,aggreement,,
hasta,until,,
grande,large,great,big
llevar,to wear ,carry,
menos,minus,less,as long as
mientras,meanwhile,while,whereas
además,also,as well,in addition
contra,against,opposite,
embargo,however,nevertheless,
perder,to lose,lose,
history,history ,story,
modo,way,manner,
punto,point,dot,period
mayor,larger,older,main
propio,own,,
mujer,woman,lady,
lugar,place,,
